Id;Hersteller;Typ;Preis;Sockel;Kerne;Name
1;AMD;Ryzen 3;199.00;AM4;4;3100
2;AMD;Ryzen 5;269.00;AM4;6;3600
3;AMD;Ryzen 5;309.00;AM4;6;3600XT
4;AMD;Ryzen 5;289.00;AM4;6;5600X
5;AMD;Ryzen 7;309.00;AM4;8;3700X
6;AMD;Ryzen 7;299.00;AM4;8;3800X
7;AMD;Ryzen 7;339.00;AM4;8;3800XT
8;AMD;Ryzen 7;369.00;AM4;8;5800X
9;AMD;Ryzen 9;499.00;AM4;12;3900X
10;AMD;Ryzen 9;799.00;AM4;16;3950X
11;AMD;Ryzen 9;525.00;AM4;12;5900X
12;AMD;Ryzen 9;742.00;AM4;16;5950X
13;AMD;Ryzen Threadripper;1518.00;sTRX4;24;3960X
14;AMD;Ryzen Threadripper;2199.00;sTRX4;32;3970X
15;AMD;Ryzen Threadripper;4299.00;sTRX4;36;3990X
16;Intel;Core i3;122.00;BGA1526;4;10105
17;Intel;Core i3;154.00;BGA1526;4;10325
18;Intel;Core i3;129.00;LGA1700 ;4;12100
19;Intel;Core i3;143.00;LGA1700 ;4;12300
20;Intel;Core i3;???;LGA1700 ;8;12300HE
21;Intel;Core i5;212.00;LGA1700 ;6;12500
22;Intel;Core i5;311.00;LGA1700 ;8;12450H
23;Intel;Core i5;299.00;LGA1700 ;10;12600K
24;Intel;Core i5;311.00;LGA1700 ;12;12600H
25;Intel;Core i7;329.00;BGA1526;8;11700K
26;Intel;Core i7;457.00;LGA1700 ;10;12650H
27;Intel;Core i7;339.00;LGA1700 ;12;12700T
28;Intel;Core i7;457.00;LGA1700 ;14;12800H
29;Intel;Core i9;617.00;LGA1700 ;14;12900H
30;Intel;Core i9;???;LGA1700 ;16;12900E
